Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
A73,04/22/2020 11:13:51 AM +0000,Crash Urgent,"(30.232393,-97.720396)",30.232393,-97.720396,Wickersham Ln & E Riverside Dr,ARCHIVED,04/22/2020 12:10:03 PM +0000
A74,04/23/2020 12:53:04 PM +0000,Crash Urgent,"(30.200896,-97.870873)",30.200896,-97.870873,W Slaughter Ln & Beckett Rd,ARCHIVED,04/23/2020 02:00:04 PM +0000
A75,04/24/2020 11:54:18 AM +0000,Traffic Hazard,"(30.457054,-97.79252)",30.457054,-97.79252,13608-13748 N Us 183 Hwy Sb,ARCHIVED,04/24/2020 12:15:03 PM +0000
A76,04/25/2020 01:09:20 PM +0000,Crash Urgent,"(30.337407,-97.757059)",30.337407,-97.757059,5523 Balcones Dr,ARCHIVED,04/25/2020 02:30:03 PM +0000
A77,04/26/2020 02:56:47 PM +0000,Traffic Hazard,"(30.285537,-97.684611)",30.285537,-97.684611,E Martin Luther King Jr Blvd & Overhill Dr,ARCHIVED,04/26/2020 03:15:04 PM +0000
A78,04/29/2020 10:33:55 AM +0000,Traffic Hazard,"(30.394537,-97.845468)",30.394537,-97.845468,Fm 2222 Rd & River Place Blvd,ARCHIVED,04/29/2020 11:45:03 AM +0000
A79,04/30/2020 11:51:47 AM +0000,Traffic Hazard,"(30.328,-97.664111)",30.328,-97.664111,8104-8614 E Us 290 Hwy Wb,ARCHIVED,04/30/2020 12:20:04 PM +0000
A80,06/19/2020 12:53:02 PM +0000,zSTALLED VEHICLE,"(30.414271,-97.745537)",30.414271,-97.745537,11558 Research Blvd Svrd Nb,ARCHIVED,06/19/2020 01:25:03 PM +0000
A81,08/25/2020 12:59:05 PM +0000,Crash Urgent,"(30.263078,-97.691298)",30.263078,-97.691298,1143 Shady Ln,ARCHIVED,08/25/2020 02:25:03 PM +0000
A82,08/25/2020 02:21:06 PM +0000,Traffic Hazard,"(30.167105,-97.788557)",30.167105,-97.788557,S Congress Ave & W Slaughter Ln,ARCHIVED,08/25/2020 02:30:04 PM +0000
A83,10/28/2020 11:50:54 PM +0000,LOOSE LIVESTOCK,"(30.242404,-97.523623)",30.242404,-97.523623,18580 Fm 969 Rd,ARCHIVED,10/29/2020 12:10:03 AM +0000
A84,08/25/2020 01:52:56 PM +0000,COLLISION,"(30.10222,-97.760032)",30.10222,-97.760032,3016 FM 1327 RD,ARCHIVED,08/25/2020 03:15:04 PM +0000
A85,08/25/2020 02:21:15 PM +0000,Crash Urgent,"(30.419103,-97.746443)",30.419103,-97.746443,Research Blvd Svrd Nb & Duval Rd,ARCHIVED,08/25/2020 03:40:03 PM +0000
A86,08/25/2020 02:20:59 PM +0000,Crash Urgent,"(30.377363,-97.725468)",30.377363,-97.725468,Waterford Centre Blvd & Burnet Rd,ARCHIVED,08/25/2020 04:10:03 PM +0000
A87,04/17/2020 09:58:31 PM +0000,COLLISN/ LVNG SCN,"(30.141012,-97.846664)",30.141012,-97.846664,W Fm 1626 Rd & Brodie Ln,ARCHIVED,04/17/2020 10:30:05 PM +0000
A88,04/17/2020 10:01:17 PM +0000,Crash Urgent,"(30.205815,-97.806408)",30.205815,-97.806408,6704 Menchaca Rd,ARCHIVED,04/17/2020 10:30:05 PM +0000
A89,04/18/2020 12:02:22 PM +0000,Crash Service,"(30.300767,-97.644318)",30.300767,-97.644318,6908 Carwill Dr,ARCHIVED,04/18/2020 01:10:03 PM +0000
A90,04/18/2020 05:05:26 PM +0000,Traffic Hazard,"(30.2697,-97.719031)",30.2697,-97.719031,1900 Rosewood Ave,ARCHIVED,04/18/2020 05:40:04 PM +0000
A91,04/19/2020 12:59:18 AM +0000,Crash Service,"(30.190748,-97.769695)",30.190748,-97.769695,6515 S Ih 35 Svrd Nb,ARCHIVED,04/19/2020 01:45:03 AM +0000
A92,04/19/2020 01:53:20 AM +0000,Traffic Hazard,"(30.214924,-97.735288)",30.214924,-97.735288,E Ben White Blvd Svrd Eb & Todd Ln,ARCHIVED,04/19/2020 02:15:04 AM +0000
A93,04/19/2020 01:38:03 AM +0000,Crash Urgent,"(30.363216,-97.717461)",30.363216,-97.717461,1659-1660 OHLEN RD,ARCHIVED,04/19/2020 03:55:04 AM +0000
A94,04/21/2020 11:55:06 AM +0000,Crash Urgent,"(30.237922,-97.738573)",30.237922,-97.738573,1900 S Ih 35 Nb,ARCHIVED,04/21/2020 12:20:04 PM +0000
A95,04/21/2020 11:48:47 AM +0000,LOOSE LIVESTOCK,"(30.280429,-97.540899)",30.280429,-97.540899,17400-17481 E Braker Ln,ARCHIVED,04/21/2020 01:25:04 PM +0000
A96,04/22/2020 12:09:56 PM +0000,Crash Urgent,"(30.217125,-97.753107)",30.217125,-97.753107,1100-1424 E Ben White Blvd Wb,ARCHIVED,04/22/2020 12:30:03 PM +0000
A97,04/22/2020 12:04:03 PM +0000,COLLISN/ LVNG SCN,"(30.341525,-97.55222)",30.341525,-97.55222,507-517 E Parsons St,ARCHIVED,04/22/2020 12:50:05 PM +0000
A98,04/23/2020 01:07:42 PM +0000,Traffic Hazard,"(30.310843,-97.732976)",30.310843,-97.732976,W 45th St & Guadalupe St,ARCHIVED,04/23/2020 01:30:03 PM +0000
A99,04/24/2020 12:48:08 PM +0000,TRFC HAZD/ DEBRIS,"(30.390416,-97.889377)",30.390416,-97.889377,4710-blk N Fm 620 Rd,ARCHIVED,04/24/2020 01:00:05 PM +0000
A100,04/24/2020 12:50:21 PM +0000,Traffic Hazard,"(30.270404,-97.714656)",30.270404,-97.714656,2304 ROSEWOOD AVE,ARCHIVED,04/24/2020 01:10:02 PM +0000
A101,04/25/2020 01:29:01 PM +0000,COLLISN/ LVNG SCN,"(30.075801,-97.781399)",30.075801,-97.781399,14437 S Turnersville Rd,ARCHIVED,04/25/2020 02:10:03 PM +0000
A102,04/26/2020 03:51:58 PM +0000,Crash Urgent,"(30.254085,-97.736511)",30.254085,-97.736511,50 N Ih 35 Nb,ARCHIVED,04/26/2020 04:00:04 PM +0000
A103,04/27/2019 04:37:11 PM +0000,Crash Urgent,"(30.236491,-97.686408)",30.236491,-97.686408,Bastrop Hwy Sb & Thompson Ln,ARCHIVED,04/27/2019 05:45:04 PM +0000
A104,04/27/2019 05:38:00 PM +0000,Crash Urgent,"(30.246666,-97.75321)",30.246666,-97.75321,W Annie St & Newton St,ARCHIVED,04/27/2019 07:30:04 PM +0000
A105,04/27/2019 06:51:45 PM +0000,Traffic Hazard,"(30.456648,-97.765659)",30.456648,-97.765659,8412-8444 Anderson Mill Rd,ARCHIVED,04/27/2019 08:15:04 PM +0000
A106,04/29/2020 10:39:16 AM +0000,Traffic Hazard,"(30.336777,-97.755952)",30.336777,-97.755952,3051-3225 NORTHLAND DR,ARCHIVED,04/29/2020 10:55:03 AM +0000
A107,04/29/2020 10:41:17 AM +0000,Traffic Hazard,"(30.337419,-97.75705)",30.337419,-97.75705,Northland Dr & Balcones Dr,ARCHIVED,04/29/2020 10:55:03 AM +0000
A108,04/30/2020 12:47:22 PM +0000,Crash Urgent,"(30.288534,-97.752769)",30.288534,-97.752769,N Lamar Blvd & W 24th St,ARCHIVED,04/30/2020 03:00:04 PM +0000
A109,06/19/2020 01:28:25 PM +0000,Traffic Hazard,"(30.361794,-97.746945)",30.361794,-97.746945,Spicewood Springs Rd & Wood Hollow Dr,ARCHIVED,06/19/2020 01:50:03 PM +0000
A110,06/19/2020 01:28:27 PM +0000,COLLISION,"(30.251457,-97.595643)",30.251457,-97.595643,Fm 969 Rd & Gilbert Rd,ARCHIVED,06/19/2020 01:50:03 PM +0000
A111,06/19/2020 01:44:31 PM +0000,Traffic Hazard,"(30.270257,-97.747003)",30.270257,-97.747003,San Antonio St & W 7th St,ARCHIVED,06/19/2020 01:55:03 PM +0000
A112,08/25/2020 02:25:38 PM +0000,TRFC HAZD/ DEBRIS,"(30.469753,-97.67048)",30.469753,-97.67048,16447-16529 N Ih 35 Nb,ARCHIVED,08/25/2020 02:40:06 PM +0000
A113,08/25/2020 02:27:07 PM +0000,TRFC HAZD/ DEBRIS,"(30.457299,-97.667203)",30.457299,-97.667203,15946-16032 N Ih 35 Svrd Sb,ARCHIVED,08/25/2020 02:45:03 PM +0000
A114,10/28/2020 11:46:19 PM +0000,Traffic Hazard,"(30.361299,-97.743361)",30.361299,-97.743361,3300 W Anderson Ln,ARCHIVED,10/29/2020 12:00:03 AM +0000
A115,10/28/2020 11:55:11 PM +0000,Stalled Vehicle,"(30.167032,-97.784984)",30.167032,-97.784984,100-blk E Slaughter Ln,ARCHIVED,10/29/2020 12:15:04 AM +0000
A116,10/29/2020 12:27:43 AM +0000,Crash Urgent,"(30.360051,-97.691793)",30.360051,-97.691793,North Creek Dr & E Rundberg Ln,ARCHIVED,10/29/2020 01:15:03 AM +0000
A117,10/29/2020 12:29:57 AM +0000,Crash Urgent,"(30.215541,-97.734922)",30.215541,-97.734922,E Ben White Blvd Svrd Wb & Burleson Rd,ARCHIVED,10/29/2020 01:20:04 AM +0000
A118,10/29/2020 12:27:49 AM +0000,Crash Urgent,"(30.16563,-97.787113)",30.16563,-97.787113,9200 S IH 35 SB,ARCHIVED,10/29/2020 01:25:02 AM +0000
A119,10/29/2020 12:24:23 AM +0000,Crash Urgent,"(30.498149,-97.775717)",30.498149,-97.775717,W PARMER LN & AVERY RANCH BLVD,ARCHIVED,10/29/2020 01:40:03 AM +0000
A120,04/17/2020 10:09:44 PM +0000,COLLISION,"(30.413815,-97.569451)",30.413815,-97.569451,16301 CAMERON RD,ARCHIVED,04/17/2020 10:20:04 PM +0000
A121,04/17/2020 06:00:36 PM +0000,Crash Service,"(30.356515,-97.685065)",30.356515,-97.685065,900 E RUNDBERG LN,ARCHIVED,04/17/2020 10:45:03 PM +0000
A122,04/17/2020 10:43:34 PM +0000,Crash Urgent,"(30.16707,-97.786925)",30.16707,-97.786925,100-blk W Slaughter Ln,ARCHIVED,04/17/2020 10:55:02 PM +0000
A123,04/17/2020 10:46:41 PM +0000,zSTALLED VEHICLE,"(30.377747,-97.735889)",30.377747,-97.735889,Mopac Sb To Research Sb Ramp,ARCHIVED,04/17/2020 11:15:04 PM +0000
A124,04/17/2020 11:01:00 PM +0000,LOOSE LIVESTOCK,"(30.483157,-98.068518)",30.483157,-98.068518,Singleton Bend Rd & Blue Cove Rd,ARCHIVED,04/17/2020 11:25:03 PM +0000
A125,04/17/2020 10:21:11 PM +0000,Crash Urgent,"(30.167262,-97.790615)",30.167262,-97.790615,126-150 W Slaughter Ln,ARCHIVED,04/18/2020 12:05:28 AM +0000
A126,04/17/2020 10:59:25 PM +0000,Crash Urgent,"(30.246175,-97.805271)",30.246175,-97.805271,3700 S Mopac Expy Svrd Nb,ARCHIVED,04/18/2020 12:05:28 AM +0000
A127,04/18/2020 05:13:08 PM +0000,Crash Urgent,"(30.190742,-97.84515)",30.190742,-97.84515,Silk Oak Dr & Brodie Ln,ARCHIVED,04/18/2020 05:20:04 PM +0000
A128,04/18/2020 05:14:08 PM +0000,COLLISION,"(30.347721,-97.563699)",30.347721,-97.563699,10700-BLK E US 290 HWY EB,ARCHIVED,04/18/2020 05:55:03 PM +0000
A129,04/18/2020 06:16:03 PM +0000,Traffic Hazard,"(30.295384,-97.719233)",30.295384,-97.719233,3800 N Ih 35 Nb,ARCHIVED,04/18/2020 06:35:06 PM +0000
A130,04/19/2020 02:12:44 AM +0000,Crash Urgent,"(30.250702,-97.895974)",30.250702,-97.895974,8715 W Sh 71,ARCHIVED,04/19/2020 04:00:04 AM +0000
A131,04/21/2020 12:27:36 PM +0000,TRFC HAZD/ DEBRIS,"(30.297537,-97.806784)",30.297537,-97.806784,1000-BLK OLD STONEHEDGE,ARCHIVED,04/21/2020 12:55:03 PM +0000
A132,04/21/2020 12:29:03 PM +0000,zSTALLED VEHICLE,"(30.358568,-97.74079)",30.358568,-97.74079,Shoal Creek Blvd & Foster Ln,ARCHIVED,04/21/2020 02:00:05 PM +0000
A133,04/22/2020 12:28:53 PM +0000,Traffic Hazard,"(30.440274,-97.66928)",30.440274,-97.66928,1514-1537 W Wells Branch Pkwy,ARCHIVED,04/22/2020 12:55:03 PM +0000
A134,04/23/2020 01:30:55 PM +0000,Crash Urgent,"(30.35081,-97.709153)",30.35081,-97.709153,N Lamar Blvd & W Powell Ln,ARCHIVED,04/23/2020 01:40:04 PM +0000
A135,04/23/2020 01:30:48 PM +0000,LOOSE LIVESTOCK,"(30.369796,-97.584087)",30.369796,-97.584087,E Howard Ln & Gregg Manor To N 130 Sb Ramp,ARCHIVED,04/23/2020 01:45:03 PM +0000
A136,04/24/2020 12:58:29 PM +0000,Traffic Hazard,"(30.408328,-97.717602)",30.408328,-97.717602,11602-12004 N Mopac Expy Sb,ARCHIVED,04/24/2020 01:25:03 PM +0000
A137,04/27/2019 05:53:26 PM +0000,COLLISION,"(30.273102,-97.798485)",30.273102,-97.798485,Rollingwood Dr & Bee Caves Rd,ARCHIVED,04/27/2019 06:10:03 PM +0000
A138,04/25/2020 02:07:28 PM +0000,TRFC HAZD/ DEBRIS,"(30.295523,-97.827498)",30.295523,-97.827498,S Cap Tx Nb To Bee Caves Ramp & Bee Caves Rd,ARCHIVED,04/25/2020 02:30:03 PM +0000
